P_Id,Pattern
10604482,Solid
13626148,NA
10861466,Solid
14087576,Solid
17511828,Self Design
16707940,Solid
17240172,Solid
11549456,NA
19202774,Solid
10856140,NA
15790462,Solid
17511824,Solid
13633362,Solid
17511734,Solid
13645124,Colourblocked
15790738,Checked
13843102,Printed
10856194,Checked
17787792,Solid
12541606,Solid
17240094,Self Design
12541660,Self Design
11364424,Printed
11364480,Solid
18776084,Printed
13843104,NA
2280928,Solid
17985598,Printed
17787798,NA
16044010,Printed
17985336,Printed
17240154,Solid
12541634,Solid
13000550,Solid
15301192,Solid
16989952,Solid
13936010,Printed
15940138,Printed
16707710,Solid
13843050,Striped
19202762,Solid
17787912,NA
16989996,Printed
15790696,Solid
17511510,Solid
11549468,Faded
17240142,Solid
14487126,Solid
16707930,Striped
16043992,Solid
16707870,Solid
9552897,Self Design
15940214,Solid
15508784,Solid
17240132,Printed
17325788,Solid
17787864,Solid
15301362,NA
14487138,NA
16989920,Printed
18039398,Solid
15000590,Solid
13633420,Self Design
13843056,Solid
17511780,Solid
15790508,Solid
10604592,Printed
11075860,Printed
17511654,Printed
14498234,Printed
17240144,Solid
17985656,Solid
13000538,Solid
18110246,Solid
16043950,NA
17787820,Printed
15790686,Colourblocked
15940114,Printed
14498200,Solid
12288110,Solid
18110478,Solid
14498146,Printed
17511746,Printed
15508760,Solid
10075721,Printed
12222106,Printed
12737882,Solid
13581136,Solid
13842962,Solid
13668984,Printed
13000440,Solid
15301426,Solid
18337046,Printed
2305643,Solid
11064260,Solid
16707752,Solid
11364296,Solid
17511664,NA
9070213,Solid
18337008,Solid
9070459,Solid
14487114,Solid
1901152,Solid
17511640,Solid
12737776,Printed
11364248,Printed
13843262,Printed
12222072,Solid
15790534,NA
6994056,Solid
13843066,Solid
19202922,Solid
18337024,Solid
17511636,Self Design
10856152,Checked
16044132,NA
13936020,Printed
18336906,Printed
14087386,Solid
16989930,NA
18336902,Solid
16044104,NA
15790688,NA
16989998,NA
17511712,Solid
12384822,Solid
19259882,Printed
12808128,NA
13255584,Printed
17739956,Solid
18173820,Striped
16956766,Colourblocked
16647634,Printed
16644002,Printed
16031282,Solid
16031278,Solid
13110996,NA
19273916,NA
19273926,Printed
15133464,Solid
8367057,Solid
13359108,Solid
13375736,Printed
12742100,Checked
12723704,Embellished
17282286,Self Design
17777156,Solid
12512058,Solid
11093468,Solid
14933184,Solid
15721006,Solid
12564274,Solid
18818046,Self Design
17777168,NA
13742862,Solid
17777180,Solid
13670856,Solid
17062446,Printed
17777188,Solid
18818038,Solid
13498522,Printed
15721018,Printed
19142006,Solid
15721024,Solid
16055322,Solid
14114834,Printed
17371606,Solid
18229612,Solid
16045698,Printed
17405640,Solid
16045710,Solid
17777170,Solid
11218928,Solid
18625124,Printed
12565984,Solid
17777194,NA
18175878,Solid
18229608,Printed
14135870,Solid
17739118,NA
11323608,Printed
11937460,Printed
17644800,Solid
13670888,Washed
18175880,Solid
17062466,Solid
14114826,Solid
17644792,Self Design
12564282,NA
18003804,NA
11215816,NA
17644788,Solid
11334574,Printed
12742102,Solid
18603238,Solid
18944468,NA
11937456,Solid
13011374,Checked
18947602,Washed
10714842,Checked
12344210,Printed
17777200,Printed
18637088,Dyed
15158338,Printed
10783332,Printed
17811478,Printed
12718796,Printed
17784324,Printed
15262350,Printed
18360202,Striped
17784302,Printed
19249482,Printed
16008624,Printed
14238538,Solid
16008656,Printed
16896986,Printed
15262298,Solid
17155954,Solid
17012370,Solid
18057308,Solid
16404508,Solid
16007090,Solid
14008468,Striped
14058052,Solid
6539733,Solid
6703814,Solid
10035883,Solid
10496030,Solid
16404516,Solid
14063026,Solid
16827132,Solid
13401782,Striped
10854038,Solid
12693276,Solid
17734680,Solid
19068086,Printed
12033996,Printed
10742414,Printed
10854022,Solid
18787500,Solid
9656683,Solid
10891996,Solid
18787832,Solid
19068088,Solid
19068090,Solid
15092142,Solid
12111112,Printed
15575208,Solid
10764066,Solid
8661281,Solid
10742380,Solid
12693272,Solid
14974278,Striped
10923656,NA
10845278,Solid
14154070,Solid
17442682,Solid
10573162,Striped
15026828,Solid
10698734,Self Design
11970554,Solid
12999468,Solid
16181570,Colourblocked
19227284,Solid
10698740,Solid
12072478,Solid
16770452,Self Design
17538092,Solid
10918148,NA
14929684,Solid
15454236,Solid
10683618,Solid
15997714,Solid
14348874,Solid
16607354,Solid
9801593,Embroidered
